"","protein","cor","p_value"
"LMNA","LMNA",-0.210550699350845,0.170105873931235
"SPTA1","SPTA1",0.0413703628400463,0.789751005295567
"TNNC2","TNNC2",0.101497857032151,0.512097726542306
"APOA1","APOA1",-0.276620156921699,0.0691071763277715
"APOE","APOE",-0.271442304610853,0.0782822157513372
"APOA2","APOA2",-0.297475337253314,0.0498708464582802
"APOC1","APOC1",-0.0854257492441437,0.581395892913424
"APOC3","APOC3",-0.100538847321845,0.521211616638043
"FGA","FGA",-0.0194411886787095,0.900319696269235
"FGB","FGB",-0.0211107596793398,0.89180809764915
"FGG","FGG",-0.0782673859271657,0.613560963114231
"SLC4A1","SLC4A1",0.00213667020574612,0.989017425934802
"APCS","APCS",-0.369199487785411,0.0136510521992616
"C9","C9",-0.17247799788915,0.287212200142048
"APOH","APOH",-0.0910508723293471,0.556667111783771
"LRG1","LRG1",-0.435208171684716,0.00710121657441788
"FN1","FN1",0.00731553930254058,0.962410090151095
"RBP4","RBP4",-0.142875742711007,0.354858974197543
"AMBP","AMBP",-0.167415945179085,0.277376932567398
"ORM1","ORM1",-0.25709088891172,0.0920457795790303
"AHSG","AHSG",-0.199213203284175,0.194827884000794
"TTR","TTR",-0.242246678439318,0.113120174059951
"ALB","ALB",-0.258281609062921,0.0904970064491654
"GC","GC",-0.378111760320735,0.0113857067705997
"PPBP","PPBP",-0.0467318565294775,0.766028362836638
"PF4","PF4",-0.0044254599417967,0.977809834201282
"TFRC","TFRC",-0.31589380266338,0.0367166866943647
"TF","TF",-0.443435922591254,0.00257159816928091
"LTF","LTF",-0.154673439332396,0.334248142583393
"HPX","HPX",-0.407254261369313,0.00607503442700445
"FTL","FTL",0.294394668944877,0.0524034325286236
"FTH1","FTH1",0.208169293322017,0.175100513586109
"MT-ND1","MT-ND1",0.172276180254279,0.269295556914806
"MT-ND2","MT-ND2",-0.0306174762050878,0.843598420494308
"MT-ND3","MT-ND3",0.0358850638971871,0.880609057308989
"MT-ND4","MT-ND4",0.12663404855314,0.448687136199467
"MT-ND5","MT-ND5",0.0377273675844178,0.817217908415428
"MT-ATP8","MT-ATP8",-0.0180906913019326,0.907212770265008
"C4BPA","C4BPA",-0.0330807176510548,0.831191400350544
"VTN","VTN",-0.332292389900305,0.0275408425555898
"CAT","CAT",0.0094452465601252,0.951478421459813
"FUCA1","FUCA1",0.272813019950036,0.258461307928295
"ALDOA","ALDOA",0.127865246602931,0.408153146547435
"CSTB","CSTB",-0.319974576818913,0.0342268755436226
"ANXA1","ANXA1",-0.119253808211714,0.440692085690835
"APOB","APOB",-0.0751484016733638,0.627808111531181
"SOD2","SOD2",0.0684982451977128,0.658630265230784
"OAT","OAT",0.155853689691341,0.41947603979225
"HRG","HRG",-0.0133722128397799,0.931346032747829
"THY1","THY1",-0.0725462034265942,0.665133166566065
"A1BG","A1BG",-0.307425054673248,0.0423591098004487
"KRT6B","KRT6B",0.298548724084538,0.0518193395518404
"KRT1","KRT1",0.248230748770826,0.104222824903424
"VWF","VWF",0.00118456497965192,0.993911158191737
"TUBB4A","TUBB4A",-0.111842301021175,0.480708153860933
"GAPDH","GAPDH",0.151044346424812,0.327727525388548
"HLA-A","HLA-A",-0.198052596503046,0.197494862961377
"CAPNS1","CAPNS1",-0.0443098239317816,0.775186822444101
"HSPB1","HSPB1",0.15446472629753,0.316763368262784
"RPN1","RPN1",0.00371126405687933,0.980925118743369
"RPN2","RPN2",0.0948330241520729,0.540323223232481
"GNAI2","GNAI2",-0.16426267814912,0.286656109473839
"H2AC8","H2AC8",-0.0462910228412084,0.765413044998677
"ATP1A1","ATP1A1",0.0302594442388337,0.845404972102685
